Plant Code,Plant Name,Utility Name,Age of Oldest Unit at Plant in Years,Prime Mover for Generator 1,Energy Source 1 for Generator 1,Nameplate capacity in MW,2018 Net Generation in MWh,2018 Electric Fuel Consumption in MMBtu,Implied 2018 Electrical Efficiency,Latitude,Longitude,State,Zip,County,NERC Region,Balancing Authority Code
50203,US Gypsum Oakfield,U S Gypsum Co,33,GT,NG,5.8,23219,126314,63%,43.0647,-78.2972,NY,14125,Genesee,NPCC,NYIS
50205,Williams Ignacio Natural Gas Plant,Harvest Midstream Co,35,ST,WH,6.1,41646,379478,37%,37.145556,-107.784722,CO,81303,La Plata,WECC,WACM
50206,Vallecito Hydroelectric,Ptarmigan Res & Engy Inc,30,HY,WAT,5.8,18805,171351,37%,37.377715,-107.578745,CO,81122,La Plata,WECC,WACM
50208,Pinetree Power,Pinetree Power Inc,33,ST,WDS,17.5,76264,1212449,21%,44.3274,-71.68,NH,3574,Grafton,NPCC,ISNE
50210,Vulcan-BN Geothermal Power Company,CalEnergy Operating Corporation,34,ST,GEO,39.6,273968,2496398,37%,33.1633,-115.6167,CA,92233,Imperial,WECC,IID
50215,York County Resource Recovery,York County Solid W & R Auth,30,ST,MSW,36.5,165966,4273229,13%,40.0017,-76.7183,PA,17406,York,RFC,PJM
50216,Watson Cogeneration,ARCO Products Co-Watson,31,CT,NG,405,2988696,16447471,62%,33.816647,-118.244841,CA,90749,Los Angeles,WECC,CISO
50218,Woodward Power Plant,Turlock Irrigation District,37,HY,WAT,2.8,2674,24366,37%,37.860653,-120.879153,CA,95361,Stanislaus,WECC,TIDC
50219,Frankenheimer Power Plant,Turlock Irrigation District,36,HY,WAT,5.3,11587,105581,37%,37.830378,-120.806972,CA,95361,Stanislaus,WECC,CISO
50223,Nelson Creek,Nelson Creek Power Inc,30,HY,WAT,1.2,0,0,0%,41.028893,-121.892351,CA,96011,Shasta,WECC,CISO
50224,Oxnard Wastewater Treatment Plant,Oxnard City of,38,IC,OBG,1.5,6151,51187,41%,34.140501,-119.184529,CA,93033,Ventura,WECC,CISO
50225,Regional Waste Systems,Ecomaine,31,ST,MSW,13.3,84173,1774247,16%,43.6556,-70.3347,ME,4102,Cumberland,NPCC,ISNE
50228,Rocky Brook Hydroelectric,Rocky Brook Electric Inc,34,HY,WAT,1.6,546,4976,37%,47.7197,-122.9431,WA,98320,Jefferson,WECC,BPAT
50229,Texas Petrochemicals,"TPC Group, LLC",47,ST,NG,35,232244,948227,84%,29.6981,-95.2547,TX,77017,Harris,TRE,ERCO
50230,Robbins Lumber,Robbins Lumber Inc,32,IC,DFO,3.2,0,0,0%,44.3331,-69.2019,ME,4973,Waldo,NPCC,ISNE
50231,SDS Lumber Gorge Energy Division,SDS Lumber Co,34,ST,WDS,10,0,0,0%,45.713079,-121.469178,WA,98605,Klickitat,WECC,BPAT
50233,San Dimas Wash Generating Station,San Gabriel Valley Mun Wtr Dt,33,HY,WAT,1,1192,10862,37%,34.124171,-117.805091,CA,91773,Los Angeles,WECC,CISO
50234,San Antonio Regional Hospital,San Antonio Regional Hospital,34,IC,NG,2.7,11474,60522,65%,34.1019,-117.6381,CA,91786,San Bernardino,WECC,CISO
50240,Purdue University,Purdue University,24,ST,NG,43.2,125036,654264,65%,40.4172,-86.9122,IN,47907,Tippecanoe,RFC,MISO
50241,Tenet Hospital,Tenet Hospital Ltd,32,IC,DFO,4.2,13,89,50%,31.7697,-106.5014,TX,79902,El Paso,TRE,EPE
50243,Bucksport Generation LLC,Bucksport Generation LLC,18,GT,DFO,186.8,10221,60905,57%,44.5738,-68.8046,ME,4416,Hancock,NPCC,ISNE
50244,Canton North Carolina,Blue Ridge Paper Products Inc,82,ST,BIT,52.5,309736,1704550,62%,35.535,-82.8411,NC,28716,Haywood,SERC,CPLE
50250,International Paper Pensacola,International Paper Co-Pensacola,38,ST,BLQ,82.8,471992,2082989,77%,30.5966,-87.3264,FL,32533,Escambia,SERC,SOCO
50251,Verso Paper Quinnesec Mich Mill,Verso Paper - Quinnesec,34,ST,BLQ,56,354289,2420787,50%,45.7956,-87.9556,MI,49870,Dickinson,RFC,MISO
50252,Sartell Dam,Eagle Creek RE LLC,34,HY,WAT,9.3,35768,325917,37%,45.617996,-94.200786,MN,56377,Benton,MRO,MISO
50254,KapStone Kraft Paper Corp,KapStone Kraft Paper Corp,53,ST,BLQ,28.3,201223,932998,74%,36.4769,-77.6414,NC,27870,Halifax,SERC,PJM
50260,Oakwood Hospital & Medical Center,Oakwood Hospital Med Center,13,IC,DFO,5,22,312,24%,42.2917,-83.2119,MI,48123,Wayne,RFC,MISO
50261,New Lahontan,Truckee-Carson Irrigation District,30,HY,WAT,4,18331,167033,37%,39.463569,-119.065227,NV,89406,Churchill,WECC,NEVP
50267,Redlands Water & Power,Redlands Water & Power Company,88,HY,WAT,1.4,7575,69023,37%,39.067347,-108.592791,CO,81507,Mesa,WECC,PSCO
50268,Hewittville Hydroelectric,Erie Boulevard Hydropower LP,35,HY,WAT,3,13397,122075,37%,44.705167,-75.007933,NY,13668,St Lawrence,NPCC,NYIS
50269,Unionville Hydro Project 2499 NY,Erie Boulevard Hydropower LP,35,HY,WAT,3,12708,115795,37%,44.714518,-74.996581,NY,13668,St Lawrence,NPCC,NYIS
50270,ExxonMobil Santa Ynez Facility,Exxon Mobil Production Co,26,CT,NG,49.3,0,0,0%,34.464819,-120.044365,CA,93117,Santa Barbara,WECC,CISO
50273,Pioneer Valley Resource Recovery,Covanta Springfield LLC,31,ST,MSW,9.4,39326,1179848,11%,42.0906,-72.5917,MA,1001,Hampden,NPCC,ISNE
50274,Simplot Leasing Don Plant,Simplot Leasing Corp,33,ST,WH,15.9,63972,582913,37%,42.908412,-112.52944,ID,83204,Bannock,WECC,IPCO
50275,Park 500 Philip Morris USA,Park 500 Philip Morris USA,36,ST,NG,13,0,0,0%,37.3389,-77.2806,VA,23836,Chesterfield,SERC,PJM
50276,Wintec Energy Ltd,Wintec Energy Ltd,33,WT,WND,5.9,358,3262,37%,33.9131,-116.5631,CA,92258,Riverside,WECC,CISO
50278,Worumbo Hydro Station,Eagle Creek RE LLC,30,HY,WAT,19.4,86247,785883,37%,43.994729,-70.061921,ME,4252,Androscoggin,NPCC,ISNE
50279,Archbald Power Station,PEI Power Corp,31,ST,LFG,92.9,189833,2555146,25%,41.485,-75.5406,PA,18403,Lackawanna,RFC,PJM
50280,Dahowa Hydro,Dahowa Hydro,32,HY,WAT,10.5,30292,276020,37%,43.1033,-73.5369,NY,12834,Washington,NPCC,NYIS
50281,San Gorgonio Farms Wind Farm,San Gorgonio Farms Inc,36,WT,WND,31,91854,836974,37%,33.926111,-116.615,CA,92282,Riverside,WECC,CISO
50282,Luke Mill,Verso Luke LLC,61,ST,BIT,65,194735,1078589,62%,39.4736,-79.0569,MD,21540,Allegany,RFC,PJM
50285,Lower Village Water Power Project,Sugar River Power LLC,24,HY,WAT,1.2,6124,55803,37%,43.374292,-72.347603,NH,3437,Sullivan,NPCC,ISNE
50290,SEMASS Resource Recovery,SEMASS Partnership,31,ST,MSW,98.5,568249,10744768,18%,41.8022,-70.7875,MA,2576,Plymouth,NPCC,ISNE
50292,Bethpage Power Plant,Calpine Eastern Corp,30,CT,NG,240,455221,4174133,37%,40.7469,-73.4994,NY,11801,Nassau,NPCC,NYIS
50293,Wadham Energy LP,Wadham Energy Ltd Partners,30,ST,AB,29.1,166216,2287575,25%,39.1062,-122.1096,CA,95987,Colusa,WECC,CISO
50296,Packaging Corp of America,Packaging Corp of America,34,ST,BLQ,72.5,393581,1969602,68%,35.0471,-88.2661,TN,38326,Hardin,SERC,TVA
50298,Wheelabrator Lassen,Wheelabrator Environmental Systems,#N/A,#N/A,#N/A,0,0,0,0%,40.4352,-122.2704,CA,96007,Shasta,WECC,CISO
50299,AltaGas Ripon Energy Inc.,AltaGas Ripon Energy Inc.,31,GT,NG,49.5,9868,99585,34%,37.732533,-121.116006,CA,95366,San Joaquin,WECC,CISO
50300,AltaGas Pomona Energy Inc.,AltaGas Pomona Energy Inc.,3,BA,MWH,66,-2469,0,0%,34.059444,-117.774167,CA,91768,Los Angeles,WECC,CISO
50304,Shell Deer Park,Shell Oil Co-Deer Park,40,ST,PUR,252,1373029,15123845,31%,29.723185,-95.128856,TX,77536,Harris,TRE,ERCO
50305,Alpena Cement Plant,Lafarge Corp,20,ST,PC,47.2,157163,1926808,28%,45.069929,-83.408182,MI,49707,Alpena,RFC,MISO
50307,University of Oklahoma,University of Oklahoma,55,ST,NG,18.6,15,78,66%,35.2089,-97.4424,OK,73019,Cleveland,SPP,SWPP
50308,Utility Plants Section,Doyon Utilities - Ft. Wainwright,64,ST,SUB,20,0,0,0%,64.825601,-147.648627,AK,99703,Fairbanks North Star,ASCC,
50310,Standby Generation Plant,Pensacola Christian College,31,IC,NG,13.7,93,1563,20%,30.4736,-87.2361,FL,32503,Escambia,FRCC,SOCO
50311,Passaic Valley Water Commission,Passaic Valley Water Comm,84,HY,WAT,2.4,0,0,0%,40.883345,-74.22999,NJ,7512,Passaic,RFC,PJM
50312,Pembroke Hydro,Eagle Creek RE LLC,34,HY,WAT,2.7,12208,111240,37%,43.130362,-71.453632,NH,3275,Merrimack,NPCC,ISNE
50315,Chasm Hydro Partnership,Ampersand Chasm Hydro LLC,37,HY,WAT,1.6,0,0,0%,44.9318,-74.1125,NY,12920,Franklin,NPCC,NYIS
50316,Bunge North America East LLC,Bunge North America East LLC,69,ST,NG,2,7375,36164,70%,40.846525,-84.933264,IN,46733,Adams,RFC,PJM
50318,Par Sterile Products,JHP Pharmaceuticals LLC,33,GT,NG,2.8,0,197498,0%,42.68367,-83.11434,MI,48307,Oakland,RFC,MISO
50322,Site 980 65,Madera-Chowchilla Power Auth,34,HY,WAT,2.1,3915,35675,37%,37.056803,-119.899706,CA,93637,Madera,WECC,CISO
50323,Marco Ranch,Marco Power Inc,34,HY,WAT,1.2,3004,27373,37%,42.636558,-114.557764,ID,83338,Jerome,WECC,IPCO
50324,Newfound Hydroelectric,KTZ Hydro LLC,36,HY,WAT,1.4,5892,53689,37%,43.59,-71.73295,NH,3222,Grafton,NPCC,ISNE
50326,Nalco,Nalco Co,34,CT,NG,4.7,17871,96711,63%,41.800909,-88.197156,IL,60563,DuPage,RFC,PJM
50328,Byllesby,Neshkoro Power Assc LLC,31,HY,WAT,2.5,13799,125738,37%,44.5119,-92.9394,MN,55009,Dakota,MRO,MISO
50329,West Point Treatment Plant,King County Dept-Natural Res,7,IC,OBG,4.6,12504,75347,57%,47.661111,-122.446389,WA,98199,King,WECC,SCL
50333,Gay Robinson,Gay & Robinson Inc,9,IC,DFO,2.2,0,0,0%,21.9178,-159.6294,HI,96747,Kauai,HICC,NA
50337,Mooseheart Power House,Moose International,33,IC,NG,1.8,0,0,0%,41.8244,-88.3331,IL,60539,Kane,RFC,PJM
50341,PCS Nitrogen Fertilizer LP,PCS Nitrogen LP,13,ST,WH,14,0,0,0%,30.226977,-91.055114,LA,70734,Iberville,SERC,MISO
50344,Smithtown Energy Partners LP,Zapco Energy Tactics Corp,#N/A,#N/A,#N/A,0,0,0,0%,40.884167,-73.243611,NY,11754,Suffolk,NPCC,NYIS
50345,Oyster Bay Energy Partners LP,Zapco Energy Tactics Corp,#N/A,#N/A,#N/A,0,0,0,0%,40.768333,-73.456666,NY,11804,Nassau,NPCC,NYIS
50346,Onondaga Energy Partners LP,Zapco Energy Tactics Corp,#N/A,#N/A,#N/A,0,0,0,0%,43.0403,-76.2844,NY,13031,Onondaga,NPCC,NYIS
50348,Oceanside Energy,Zapco Energy Tactics Corp,#N/A,#N/A,#N/A,0,0,0,0%,40.6369,-73.6383,NY,11572,Nassau,NPCC,NYIS
50350,Forks of Butte Hydro Project,HYPOWER INC,27,HY,WAT,14.5,29769,271256,37%,39.869284,-121.631865,CA,95954,Butte,WECC,CISO
50351,Rolfe Canal Hydro,Briar-Hydro Associates,32,HY,WAT,4.3,15098,137572,37%,43.27456,-71.604027,NH,3303,Merrimack,NPCC,ISNE
