Plant Code,Plant Name,Utility Name,Age of Oldest Unit at Plant in Years,Prime Mover for Generator 1,Energy Source 1 for Generator 1,Nameplate capacity in MW,2018 Net Generation in MWh,2018 Electric Fuel Consumption in MMBtu,Implied 2018 Electrical Efficiency,Latitude,Longitude,State,Zip,County,NERC Region,Balancing Authority Code
2,Bankhead Dam,Alabama Power Co,56,HY,WAT,53.9,-392,0,0%,33.458665,-87.356823,AL,35476,Tuscaloosa,SERC,SOCO
3,Barry,Alabama Power Co,65,ST,NG,2569.5,10464916,85184794,42%,31.0069,-88.0103,AL,36512,Mobile,SERC,SOCO
4,Walter Bouldin Dam,Alabama Power Co,52,HY,WAT,225,687921,6268336,37%,32.583889,-86.283056,AL,36092,Elmore,SERC,SOCO
7,Gadsden,Alabama Power Co,70,ST,NG,138,188877,2195375,29%,34.0128,-85.9708,AL,35903,Etowah,SERC,SOCO
8,Gorgas,Alabama Power Co,47,ST,BIT,1166.7,5497888,53473953,35%,33.644344,-87.196486,AL,35580,Walker,SERC,SOCO
9,Copper,El Paso Electric Co,39,GT,NG,86.9,47287,780894,21%,31.7569,-106.375,TX,79915,El Paso,WECC,EPE
10,Greene County,Alabama Power Co,54,ST,NG,1288.4,1173091,12893389,31%,32.6017,-87.7811,AL,36732,Greene,SERC,SOCO
11,H Neely Henry Dam,Alabama Power Co,53,HY,WAT,72.9,252836,2303841,37%,33.7845,-86.0524,AL,36271,Calhoun,SERC,SOCO
12,Holt Dam,Alabama Power Co,51,HY,WAT,46.9,168817,1538259,37%,33.2553,-87.4495,AL,35476,Tuscaloosa,SERC,SOCO
13,Jordan Dam,Alabama Power Co,90,HY,WAT,100,435727,3970342,37%,32.6189,-86.2548,AL,36092,Elmore,SERC,SOCO
14,Logan Martin Dam,Alabama Power Co,55,HY,WAT,128.1,445383,4058329,37%,33.425878,-86.337547,AL,35178,Talladega,SERC,SOCO
15,Lay Dam,Alabama Power Co,51,HY,WAT,177,685072,6242375,37%,32.9633,-86.5187,AL,35045,Chilton,SERC,SOCO
16,Martin Dam,Alabama Power Co,92,HY,WAT,210.6,348530,3175805,37%,32.680394,-85.911442,AL,36078,Elmore,SERC,SOCO
17,Mitchell Dam,Alabama Power Co,70,HY,WAT,170,543305,4950595,37%,32.806025,-86.444892,AL,36091,Coosa,SERC,SOCO
18,Lewis Smith Dam,Alabama Power Co,58,HY,WAT,181,237885,2167608,37%,33.9406,-87.1077,AL,35501,Walker,SERC,SOCO
19,Thurlow Dam,Alabama Power Co,88,HY,WAT,91,209097,1905291,37%,32.535436,-85.887614,AL,36078,Elmore,SERC,SOCO
20,Weiss Dam,Alabama Power Co,57,HY,WAT,87.6,280944,2559962,37%,34.172142,-85.753806,AL,35983,Cherokee,SERC,SOCO
21,Yates Dam,Alabama Power Co,91,HY,WAT,50.5,142992,1302944,37%,32.5743,-85.8901,AL,36078,Elmore,SERC,SOCO
26,E C Gaston,Alabama Power Co,59,ST,NG,2034,6087254,63507419,33%,33.244211,-86.458056,AL,35186,Shelby,SERC,SOCO
30,Madelia,City of Madelia - (MN),18,IC,NG,11.8,-206,153,-459%,44.0501,-94.4178,MN,56062,Watonwan,MRO,MISO
34,Rollins,Nevada Irrigation District,39,HY,WAT,12.1,61318,558730,37%,39.134259,-120.953341,CA,95713,Placer,WECC,CISO
38,Millers Ferry,USCE-Mobile District,49,HY,WAT,101.1,287505,2619745,37%,32.100881,-87.399767,AL,36726,Wilcox,SERC,SOCO
46,Browns Ferry,Tennessee Valley Authority,45,ST,NUC,3494,25397781,0,0%,34.7042,-87.1189,AL,35609,Limestone,SERC,TVA
47,Colbert,Tennessee Valley Authority,47,GT,NG,476,68000,893601,26%,34.7439,-87.8486,AL,35674,Colbert,SERC,TVA
48,Guntersville,Tennessee Valley Authority,80,HY,WAT,115.2,733655,6685065,37%,34.421272,-86.393931,AL,35976,Marshall,SERC,TVA
49,Wheeler Dam,Tennessee Valley Authority,83,HY,WAT,404,1623825,14796294,37%,34.8069,-87.3819,AL,35672,Lawrence,SERC,TVA
50,Widows Creek,Tennessee Valley Authority,#N/A,#N/A,#N/A,0,0,0,0%,34.883022,-85.755253,AL,35772,Jackson,SERC,TVA
51,Dolet Hills,Cleco Power LLC,33,ST,LIG,720.7,1483069,18347238,28%,32.030556,-93.569167,LA,71052,DeSoto,SERC,MISO
53,Gantt,PowerSouth Energy Cooperative,93,HY,WAT,3,0,0,0%,31.4033,-86.479469,AL,36421,Covington,SERC,AEC
54,J K Smith,"East Kentucky Power Coop, Inc",20,GT,NG,1055,394471,5138789,26%,37.8833,-84.1017,KY,40391,Clark,SERC,PJM
55,Point A,PowerSouth Energy Cooperative,94,HY,WAT,5.2,13880,126475,37%,31.361146,-86.518307,AL,36421,Covington,SERC,AEC
56,Charles R Lowman,PowerSouth Energy Cooperative,50,ST,BIT,538,1256642,14871444,29%,31.488019,-87.910747,AL,36548,Washington,SERC,AEC
59,Platte,City of Grand Island - (NE),37,ST,SUB,109.8,536722,6334167,29%,40.854765,-98.348222,NE,68801,Hall,MRO,SWPP
60,Whelan Energy Center,City of Hastings - (NE),38,ST,RC,324.3,1377426,23731459,20%,40.580872,-98.312437,NE,68902,Adams,MRO,SWPP
62,Annex Creek,Alaska Electric Light&Power Co,104,HY,WAT,4,26657,242898,37%,58.3176,-134.101,AK,99801,Juneau,ASCC,
63,Gold Creek,Alaska Electric Light&Power Co,68,HY,WAT,9.7,4103,37419,37%,58.3107,-134.4174,AK,99801,Juneau,ASCC,
64,Lemon Creek,Alaska Electric Light&Power Co,50,IC,DFO,61.7,-695,6073,-39%,58.3536,-134.4953,AK,99801,Juneau,ASCC,
65,Salmon Creek 1,Alaska Electric Light&Power Co,35,HY,WAT,8.5,24389,222233,37%,58.3269,-134.4631,AK,99801,Juneau,ASCC,
66,Skagway,Alaska Power and Telephone Co,62,HY,WAT,4.4,1951,18965,35%,59.4545,-135.3131,AK,99840,Skagway Hoonah Angoon,,
69,Haines,Alaska Power and Telephone Co,28,IC,DFO,8.1,1126,15112,25%,59.235931,-135.446228,AK,99927,Haines,ASCC,
70,Swan Lake,Southeast Alaska Power Agency,35,HY,WAT,22.6,58416,532286,37%,55.615208,-131.356111,AK,99901,Ketchikan Gateway,,NA
71,Terror Lake Microgrid,Kodiak Electric Assn Inc,35,HY,WAT,33.6,121969,1111383,37%,57.6861,-152.895,AK,99615,Kodiak Island,ASCC,
72,Venice Hydro,Metropolitan Water District of S CA,37,HY,WAT,10.1,0,0,0%,34.01135,-118.4168,CA,90230,Los Angeles,WECC,CISO
75,Anchorage 1,Anchorage Municipal Light and Power,12,GT,NG,77.9,0,0,0%,61.2221,-149.8661,AK,99501,Anchorage,ASCC,
77,Eklutna Hydro Project,Anchorage Municipal Light and Power,64,HY,WAT,44.4,168115,1531864,37%,61.475211,-149.15009,AK,99645,Matanuska Susitna,ASCC,
78,Snettisham,Alaska Electric Light&Power Co,46,HY,WAT,78.2,259856,2367808,37%,58.1415,-133.737,AK,99801,Juneau,ASCC,
79,Aurora Energy LLC Chena,Aurora Energy LLC,67,ST,SUB,27.5,0,0,0%,64.847743,-147.735063,AK,99701,Fairbanks North Star,ASCC,
84,Ketchikan,Ketchikan Public Utilities,67,HY,WAT,4.2,15741,143434,37%,55.344641,-131.633425,AK,99901,Ketchikan Gateway,ASCC,
85,S W Bailey,Ketchikan Public Utilities,50,IC,DFO,25.9,18614,187635,34%,55.357397,-131.69696,AK,99901,Ketchikan Gateway,ASCC,
87,Escalante,"Tri-State G & T Assn, Inc",35,ST,SUB,257,1289911,13343988,33%,35.4159,-108.082,NM,87045,McKinley,WECC,WACM
88,Ashokan,New York Power Authority,37,HY,WAT,4.6,12662,115376,37%,41.949,-74.2063,NY,12401,Ulster,NPCC,NYIS
90,Snake River,Nome Joint Utility Systems,28,IC,DFO,19.2,32235,275519,40%,64.505331,-165.429814,AK,99762,Nome,ASCC,
91,Petersburg,Petersburg Borough - (AK),65,HY,WAT,14.5,9319,85530,37%,56.81104,-132.957091,AK,99833,Wrangell Petersburg,ASCC,
92,Seward (AK),City of Seward - (AK),44,IC,DFO,15.6,0,0,0%,60.130922,-149.43501,AK,99664,Kenai Peninsula,ASCC,
93,Blue Lake Hydro,City & Borough of Sitka - (AK),5,HY,WAT,15.9,56170,511821,37%,57.0516,-135.2297,AK,99835,Sitka,ASCC,
95,Wrangell,City of Wrangell - (AK),19,IC,DFO,8.5,520,5318,33%,56.460976,-132.379439,AK,99929,Wrangell Petersburg,ASCC,
96,Beluga,Chugach Electric Assn Inc,51,GT,NG,312.4,37832,706081,18%,61.1861,-151.0356,AK,99682,Kenai Peninsula,ASCC,
99,Frederickson,Puget Sound Energy Inc,38,GT,NG,177.8,29871,854114,12%,47.079722,-122.365,WA,98446,Pierce,WECC,PSEI
100,South Consolidated,Salt River Project,38,HY,WAT,1.4,0,0,0%,33.466477,-111.781064,AZ,85072,Maricopa,WECC,SRP
104,J S Eastwood,Southern California Edison Co,32,PS,WAT,199.8,234070,0,0%,37.147926,-119.2567,CA,93664,Fresno,WECC,CISO
108,Holcomb,Sunflower Electric Power Corp,36,ST,SUB,348.7,1472215,16129372,31%,37.9308,-100.9725,KS,67851,Finney,MRO,SWPP
109,Dillingham,"Nushagak Electric Coop, Inc",31,IC,DFO,6.6,19005,183674,35%,59.042914,-158.468597,AK,99576,Dillingham,ASCC,
112,Childs,Arizona Public Service Co,#N/A,#N/A,#N/A,0,0,0,0%,34.351111,-111.700556,AZ,85544,Yavapai,WECC,
113,Cholla,Arizona Public Service Co,57,ST,SUB,839.9,3615007,39636504,31%,34.9394,-110.3033,AZ,86032,Navajo,WECC,AZPS
114,Douglas,Arizona Public Service Co,47,GT,DFO,26.1,141,3924,12%,31.364122,-109.5538,AZ,85607,Cochise,WECC,AZPS
115,Irving,Arizona Public Service Co,#N/A,#N/A,#N/A,0,0,0,0%,34.402222,-111.617222,AZ,86322,Yavapai,WECC,
116,Ocotillo,Arizona Public Service Co,59,ST,NG,333.4,270760,3296479,28%,33.4225,-111.9122,AZ,85281,Maricopa,WECC,AZPS
117,West Phoenix,Arizona Public Service Co,43,CS,NG,1207.4,2984982,25596047,40%,33.4417,-112.1583,AZ,85043,Maricopa,WECC,AZPS
118,Saguaro,Arizona Public Service Co,17,GT,NG,184.5,109365,1472435,25%,32.5517,-111.3,AZ,85245,Pinal,WECC,AZPS
120,Yucca,Arizona Public Service Co,48,GT,NG,425,456777,5127848,30%,32.7214,-114.7106,AZ,85364,Yuma,WECC,AZPS
124,Demoss Petrie,Tucson Electric Power Co,18,GT,NG,85,5154,74,23764%,32.252273,-110.992148,AZ,85705,Pima,WECC,TEPC
126,H Wilson Sundt Generating Station,Tucson Electric Power Co,52,ST,NG,558.5,1412423,16143246,30%,32.16,-110.9047,AZ,85714,Pima,WECC,TEPC
127,Oklaunion,Public Service Co of Oklahoma,33,ST,SUB,720,3320056,34741277,33%,34.0825,-99.1753,TX,76373,Wilbarger,TRE,SWPP
130,Cross,South Carolina Public Service Authority,24,ST,RC,2390.1,9544596,96081782,34%,33.371506,-80.113235,SC,29436,Berkeley,SERC,SC
136,Seminole (FL),Seminole Electric Cooperative Inc,35,ST,BIT,1471.8,7708433,77222855,34%,29.733056,-81.632778,FL,32708,Putnam,FRCC,SEC
141,Agua Fria,Salt River Project,61,ST,NG,613.5,148612,1955790,26%,33.5561,-112.2153,AZ,85303,Maricopa,WECC,SRP
143,Crosscut,Salt River Project,80,HY,WAT,3,0,0,0%,33.439375,-111.946052,AZ,85281,Maricopa,WECC,SRP
145,Horse Mesa,Salt River Project,92,HY,WAT,129.5,50123,274005,62%,33.5907,-111.344,AZ,85072,Maricopa,WECC,SRP
147,Kyrene,Salt River Project,67,ST,NG,573.7,853210,6385847,46%,33.3556,-111.9353,AZ,85283,Maricopa,WECC,SRP
148,Mormon Flat,Salt River Project,93,HY,WAT,63.5,17190,109016,54%,33.5536,-111.4431,AZ,85072,Maricopa,WECC,SRP
149,Roosevelt,Salt River Project,46,HY,WAT,36,58274,530992,37%,33.671104,-111.161786,AZ,85072,Maricopa,WECC,SRP
150,Stewart Mountain,Salt River Project,89,HY,WAT,13,25730,234452,37%,33.5661,-111.536,AZ,85072,Maricopa,WECC,SRP
151,McClure,Modesto Irrigation District,39,GT,DFO,142.4,2958,53758,19%,37.62936,-120.93139,CA,95354,Stanislaus,WECC,BANC
152,Davis Dam,U S Bureau of Reclamation,68,HY,WAT,254.8,1103311,10053369,37%,35.197044,-114.570669,AZ,86430,Mohave,WECC,WALC
153,Glen Canyon Dam,U S Bureau of Reclamation,55,HY,WAT,1312,3958503,36069878,37%,36.936614,-111.483872,AZ,86040,Coconino,WECC,WALC
154,Hoover Dam (NV),U S Bureau of Reclamation,83,HY,WAT,1039.4,1814646,16535053,37%,36.01551,-114.738006,NV,89006,Clark,WECC,WALC
159,Lake Creek Dam,Heber Light & Power Company,38,HY,WAT,1.5,2753,25084,37%,40.493631,-111.312506,UT,84032,Wasatch,WECC,PACE
160,Apache Station,Arizona Electric Pwr Coop Inc,56,GT,NG,660.7,1773343,20130043,30%,32.0603,-109.8931,AZ,85606,Cochise,WECC,WALC
161,Turlock Lake,Turlock Irrigation District,39,HY,WAT,3.3,8837,80523,37%,37.611461,-120.594678,CA,95323,Stanislaus,WECC,TIDC
162,Hickman,Turlock Irrigation District,40,HY,WAT,1,4597,41888,37%,37.621536,-120.746247,CA,95323,Stanislaus,WECC,TIDC
164,Big Pine,Utility Board of Key West City,#N/A,#N/A,#N/A,0,0,0,0%,24.579167,-81.685,FL,33041,Monroe,FRCC,
165,GREC,Grand River Dam Authority,38,ST,NG,1734.3,2682303,22011245,42%,36.190278,-95.2894,OK,74337,Mayes,MRO,SWPP
166,Carpenter,Entergy Arkansas LLC,87,HY,WAT,56,124077,1130588,37%,34.4425,-93.0262,AR,71901,Garland,SERC,MISO
167,Cecil Lynch,Entergy Arkansas LLC,#N/A,#N/A,#N/A,0,0,0,0%,34.7535,-92.1987,AR,72117,Pulaski,SERC,MISO
168,Hamilton Moses,Entergy Arkansas LLC,#N/A,#N/A,#N/A,0,0,0,0%,34.9806,-90.8722,AR,72335,St Francis,SERC,MISO
169,Harvey Couch,Entergy Arkansas LLC,#N/A,#N/A,#N/A,0,0,0,0%,33.3592,-93.4649,AR,71860,Lafayette,SERC,MISO
170,Lake Catherine,Entergy Arkansas LLC,49,ST,NG,552.5,289084,3498735,28%,34.4341,-92.9049,AR,72105,Hot Spring,SERC,MISO
171,Mabelvale,Entergy Arkansas LLC,#N/A,#N/A,#N/A,0,0,0,0%,34.635997,-92.409602,AR,72103,Pulaski,SERC,MISO
172,Osceola (AR),City of Osceola - (AR),20,IC,DFO,4.8,0,0,0%,35.6893,-89.994,AR,72370,Mississippi,SERC,MISO
173,Robert E Ritchie,Entergy Arkansas LLC,#N/A,#N/A,#N/A,0,0,0,0%,34.4629,-90.5987,AR,72342,Phillips,SERC,MISO
174,Remmel,Entergy Arkansas LLC,94,HY,WAT,9,38312,349098,37%,34.4272,-92.8941,AR,72104,Hot Spring,SERC,MISO
180,Volta 2,Pacific Gas & Electric Co.,38,HY,WAT,1,5328,48548,37%,40.45193,-121.86215,CA,96059,Shasta,WECC,CISO
182,Beaver Dam,USCE-Little Rock District,54,HY,WAT,112,119380,1087791,37%,36.421507,-93.847373,AR,72631,Carroll,MRO,SPA
187,Degray,USCE -Vickburg District,47,HY,WAT,68,77354,338738,78%,34.211913,-93.110963,AR,71923,Clark,SERC,MISO
188,Greers Ferry Lake,USCE-Little Rock District,55,HY,WAT,96,200955,1831102,37%,35.5207,-91.9953,AR,72543,Cleburne,MRO,SPA
192,Paragould,Paragould Light & Water Comm,#N/A,#N/A,#N/A,0,0,0,0%,36.060556,-90.521389,AR,72450,Greene,MRO,SPA
193,Municipal Light,City of Piggott - (AR),56,IC,DFO,7.2,0,0,0%,36.3858,-90.1867,AR,72454,Clay,SERC,SPA
195,Narrows (AR),USCE -Vickburg District,69,HY,WAT,25.5,20641,188080,37%,34.148427,-93.715168,AR,71958,Pike,SERC,SWPP
196,Norfork,USCE-Little Rock District,69,HY,WAT,80.4,159631,1454559,37%,36.2491,-92.2401,AR,72653,Baxter,MRO,SPA
197,Blakely Mountain,USCE -Vickburg District,64,HY,WAT,75,182961,1667141,37%,34.570984,-93.194425,AR,71968,Garland,SERC,MISO
198,Bull Shoals,USCE-Little Rock District,67,HY,WAT,340,622630,5673404,37%,36.3635,-92.5763,AR,72653,Marion,MRO,SPA
199,Dardanelle,USCE-Little Rock District,54,HY,WAT,160.8,629375,5734867,37%,35.2503,-93.1686,AR,72801,Pope,MRO,SPA
201,Thomas Fitzhugh,Arkansas Electric Coop Corp,56,CA,NG,185,272862,2503264,37%,35.462382,-93.804926,AR,72949,Franklin,SERC,SWPP
202,Carl Bailey,Arkansas Electric Coop Corp,53,ST,NG,120,14199,181009,27%,35.260102,-91.363426,AR,72006,Woodruff,SERC,MISO
203,McClellan (AR),Arkansas Electric Coop Corp,47,ST,NG,136,61046,760049,27%,33.5648,-92.7917,AR,71701,Ouachita,SERC,MISO
204,Clinton Power Station,Exelon Nuclear,32,ST,NUC,1138.3,8346686,0,0%,40.1719,-88.8339,IL,61727,DeWitt,SERC,MISO
207,St Johns River Power Park,JEA,#N/A,#N/A,#N/A,0,0,0,0%,30.4308,-81.5508,FL,32226,Duval,FRCC,JEA
210,Wolf Creek Generating Station,Wolf Creek Nuclear Optg Corp,34,ST,NUC,1267.7,9168289,0,0%,38.23926,-95.68978,KS,66839,Coffey,MRO,SWPP
214,Alta Powerhouse,Pacific Gas & Electric Co.,117,HY,WAT,1,3438,31326,37%,39.215979,-120.80355,CA,95701,Placer,WECC,CISO
215,Angels,Utica Water & Power Authority,79,HY,WAT,1.4,5826,53089,37%,38.071944,-120.539444,CA,95222,Calaveras,WECC,CISO
217,Balch 1,Pacific Gas & Electric Co.,92,HY,WAT,31,82440,751192,37%,36.909137,-119.087712,CA,93649,Fresno,WECC,CISO
218,Balch 2,Pacific Gas & Electric Co.,61,HY,WAT,97.2,403455,3676282,37%,36.908907,-119.087556,CA,93649,Fresno,WECC,CISO
219,Belden,Pacific Gas & Electric Co.,50,HY,WAT,117.9,233801,2130396,37%,40.007445,-121.249438,CA,95915,Plumas,WECC,CISO
220,Bucks Creek,Pacific Gas & Electric Co.,91,HY,WAT,66,131028,1193928,37%,39.91062,-121.327692,CA,95980,Plumas,WECC,CISO
221,Butt Valley,Pacific Gas & Electric Co.,61,HY,WAT,40,58440,532506,37%,40.175656,-121.190663,CA,95956,Plumas,WECC,CISO
222,Caribou 1,Pacific Gas & Electric Co.,98,HY,WAT,73.8,114369,1042130,37%,40.085476,-121.148241,CA,95956,Plumas,WECC,CISO
223,Caribou 2,Pacific Gas & Electric Co.,61,HY,WAT,117.9,358407,3265805,37%,40.085997,-121.149373,CA,95956,Plumas,WECC,CISO
224,Centerville PH,Pacific Gas & Electric Co.,119,HY,WAT,6.4,0,0,0%,39.788877,-121.657383,CA,95927,Butte,WECC,CISO
225,Chili Bar,Pacific Gas & Electric Co.,54,HY,WAT,7,27250,248304,37%,38.771764,-120.813239,CA,95667,El Dorado,WECC,CISO
226,Coal Canyon,Pacific Gas & Electric Co.,#N/A,#N/A,#N/A,0,0,0,0%,39.605043,-121.600525,CA,95965,Butte,WECC,CISO
227,Coleman PH,Pacific Gas & Electric Co.,40,HY,WAT,12.1,45303,412801,37%,40.404645,-122.121904,CA,96022,Shasta,WECC,CISO
229,Cow Creek,Pacific Gas & Electric Co.,112,HY,WAT,1.4,3785,34489,37%,40.570817,-122.02093,CA,96062,Shasta,WECC,CISO
231,Cresta,Pacific Gas & Electric Co.,70,HY,WAT,73.8,190017,1731435,37%,39.825907,-121.409687,CA,95980,Butte,WECC,CISO
232,De Sabla,Pacific Gas & Electric Co.,56,HY,WAT,18.4,59657,543594,37%,39.869265,-121.631819,CA,95954,Butte,WECC,CISO
233,Deer Creek PH,Pacific Gas & Electric Co.,111,HY,WAT,5.5,21010,191442,37%,39.29807,-120.8443,CA,95959,Nevada,WECC,CISO
235,Drum 1,Pacific Gas & Electric Co.,106,HY,WAT,49.2,85904,782758,37%,39.256873,-120.767437,CA,95701,Placer,WECC,CISO
236,Drum 2,Pacific Gas & Electric Co.,54,HY,WAT,53.1,231243,2107085,37%,39.257388,-120.767046,CA,95701,Placer,WECC,CISO
237,Dutch Flat,Pacific Gas & Electric Co.,76,HY,WAT,22,69559,633820,37%,39.216985,-120.835587,CA,95701,Placer,WECC,CISO
238,El Dorado,El Dorado Irrigation District,95,HY,WAT,20,59185,539295,37%,38.793574,-120.619152,CA,95667,El Dorado,WECC,CISO
239,Electra,Pacific Gas & Electric Co.,71,HY,WAT,102.5,316535,2884268,37%,38.330985,-120.669901,CA,95642,Amador,WECC,CISO
240,Haas,Pacific Gas & Electric Co.,61,HY,WAT,135,361336,3292493,37%,36.927424,-119.02025,CA,93649,Fresno,WECC,CISO
241,Halsey,Pacific Gas & Electric Co.,103,HY,WAT,13.6,38014,346383,37%,38.956985,-121.041932,CA,95603,Placer,WECC,CISO
242,Hamilton Branch,Pacific Gas & Electric Co.,98,HY,WAT,5.3,4508,41077,37%,40.268712,-121.089479,CA,96137,Plumas,WECC,CISO
243,Hat Creek 1,Pacific Gas & Electric Co.,98,HY,WAT,10,31285,285069,37%,40.929297,-121.544462,CA,96013,Shasta,WECC,CISO
244,Hat Creek 2,Pacific Gas & Electric Co.,98,HY,WAT,10,41999,382695,37%,40.960675,-121.548657,CA,96013,Shasta,WECC,CISO
246,Humboldt Bay,Pacific Gas & Electric Co.,9,IC,NG,167,383862,3372675,39%,40.7415,-124.2103,CA,95503,Humboldt,WECC,CISO
247,Hunters Point,Pacific Gas & Electric Co.,#N/A,#N/A,#N/A,0,0,0,0%,37.733611,-122.389722,CA,94124,San Francisco,WECC,
248,Inskip,Pacific Gas & Electric Co.,40,HY,WAT,7.6,0,0,0%,40.400988,-121.965502,CA,96059,Tehama,WECC,CISO
249,James B Black,Pacific Gas & Electric Co.,53,HY,WAT,168.6,543811,4955207,37%,40.992295,-121.975182,CA,96065,Shasta,WECC,CISO
250,Kerckhoff,Pacific Gas & Electric Co.,99,HY,WAT,22.6,0,0,0%,37.092486,-119.552826,CA,93602,Fresno,WECC,CISO
253,Kilarc,Pacific Gas & Electric Co.,115,HY,WAT,1.5,8351,76095,37%,40.677827,-121.873253,CA,96096,Shasta,WECC,CISO
254,Kings River PH,Pacific Gas & Electric Co.,57,HY,WAT,48.6,134174,1222593,37%,36.888166,-119.158777,CA,93649,Fresno,WECC,CISO
255,Lime Saddle,Pacific Gas & Electric Co.,113,HY,WAT,2,3030,27610,37%,39.698755,-121.57096,CA,95965,Butte,WECC,CISO
258,Merced Falls,Merced Irrigation District,89,HY,WAT,3.4,9677,88176,37%,37.52301,-120.329905,CA,95369,Merced,WECC,CISO
260,Dynegy Moss Landing Power Plant,Dynegy -Moss Landing LLC,17,CT,NG,1398,4178782,29433380,48%,36.804837,-121.782241,CA,95039,Monterey,WECC,CISO
261,Murphys,Utica Water & Power Authority,65,HY,WAT,3.6,14187,129273,37%,38.147093,-120.446396,CA,95247,Calaveras,WECC,CISO
262,Narrows PH,Pacific Gas & Electric Co.,77,HY,WAT,10.2,22883,208510,37%,39.2364,-121.271741,CA,95945,Nevada,WECC,CISO
264,Phoenix,Pacific Gas & Electric Co.,79,HY,WAT,1.6,5669,51658,37%,38.032103,-120.326537,CA,95370,Tuolumne,WECC,CISO
265,Pit 1,Pacific Gas & Electric Co.,97,HY,WAT,69.2,227077,2069125,37%,40.99084,-121.498243,CA,96013,Shasta,WECC,CISO
266,Pit 3,Pacific Gas & Electric Co.,94,HY,WAT,80.1,257821,2349264,37%,40.997448,-121.748139,CA,96013,Shasta,WECC,CISO
267,Pit 4,Pacific Gas & Electric Co.,64,HY,WAT,103.4,397187,3619167,37%,40.986361,-121.84944,CA,96011,Shasta,WECC,CISO
268,Pit 5,Pacific Gas & Electric Co.,75,HY,WAT,141.6,612859,5584373,37%,40.986197,-121.977594,CA,96011,Shasta,WECC,CISO
269,Pit 6,Pacific Gas & Electric Co.,54,HY,WAT,79.2,268511,2446671,37%,40.922568,-121.992906,CA,96065,Shasta,WECC,CISO
270,Pit 7,Pacific Gas & Electric Co.,54,HY,WAT,109.8,361008,3289505,37%,40.847462,-121.990798,CA,96065,Shasta,WECC,CISO
272,Poe,Pacific Gas & Electric Co.,61,HY,WAT,142.8,446263,4066348,37%,39.722892,-121.469814,CA,95980,Butte,WECC,CISO
274,Potter Valley,Pacific Gas & Electric Co.,80,HY,WAT,9.4,13113,119486,37%,39.361786,-123.127934,CA,95469,Mendocino,WECC,CISO
275,Rock Creek,Pacific Gas & Electric Co.,69,HY,WAT,126,331932,3024564,37%,39.90521,-121.345226,CA,95980,Plumas,WECC,CISO
276,San Joaquin 2,Pacific Gas & Electric Co.,102,HY,WAT,2.8,355,3233,37%,37.203233,-119.497508,CA,93643,Madera,WECC,CISO
277,San Joaquin 3,Pacific Gas & Electric Co.,96,HY,WAT,4,0,0,0%,37.253718,-119.519352,CA,93643,Madera,WECC,CISO
279,Salt Springs,Pacific Gas & Electric Co.,88,HY,WAT,42,125733,1145678,37%,38.497914,-120.21811,CA,95666,Amador,WECC,CISO
280,South,Pacific Gas & Electric Co.,40,HY,WAT,6.7,25089,228611,37%,40.395396,-121.879186,CA,96059,Tehama,WECC,CISO
281,Spaulding 1,Pacific Gas & Electric Co.,91,HY,WAT,7,4496,40966,37%,39.324613,-120.644807,CA,95715,Nevada,WECC,CISO
282,Spaulding 2,Pacific Gas & Electric Co.,91,HY,WAT,3.7,8907,81161,37%,39.324592,-120.645375,CA,95715,Nevada,WECC,CISO
283,Spaulding 3,Pacific Gas & Electric Co.,90,HY,WAT,6.6,31,285,37%,39.337679,-120.635467,CA,95715,Nevada,WECC,CISO
284,Spring Gap,Pacific Gas & Electric Co.,98,HY,WAT,6,29980,273176,37%,38.18653,-120.11168,CA,95335,Tuolumne,WECC,CISO
285,Stanislaus,Pacific Gas & Electric Co.,56,HY,WAT,81.9,333260,3036665,37%,38.139048,-120.370325,CA,95251,Tuolumne,WECC,CISO
286,Geysers Unit 5-20,Geysers Power Co LLC,44,ST,GEO,1163,4674308,42592293,37%,38.777,-122.745,CA,95461,Sonoma,WECC,CISO
287,Tiger Creek,Pacific Gas & Electric Co.,88,HY,WAT,52.2,227447,2072496,37%,38.449291,-120.492645,CA,95666,Amador,WECC,CISO
289,Tule River,Pacific Gas & Electric Co.,105,HY,WAT,8.4,1,10,34%,36.163076,-118.707104,CA,93265,Tulare,WECC,CISO
290,Volta 1,Pacific Gas & Electric Co.,39,HY,WAT,8.5,49310,449312,37%,40.459111,-121.86708,CA,96059,Shasta,WECC,CISO
291,West Point PH,Pacific Gas & Electric Co.,71,HY,WAT,13.6,69038,629074,37%,38.420898,-120.549572,CA,95666,Amador,WECC,CISO
292,Wise,Pacific Gas & Electric Co.,102,HY,WAT,16.4,65607,597812,37%,38.889862,-121.098525,CA,95603,Placer,WECC,CISO
293,A G Wishon,Pacific Gas & Electric Co.,109,HY,WAT,12.8,25652,233740,37%,37.15105,-119.504724,CA,93643,Madera,WECC,CISO
294,Copco 1,PacifiCorp,101,HY,WAT,20,73916,673521,37%,41.978914,-122.335317,CA,96044,Siskiyou,WECC,PACW
295,Copco 2,PacifiCorp,94,HY,WAT,27,92720,844866,37%,41.975716,-122.358127,CA,96044,Siskiyou,WECC,PACW
296,Fall Creek,PacifiCorp,116,HY,WAT,2.1,3931,35819,37%,41.985605,-122.360455,CA,96044,Siskiyou,WECC,PACW
